City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Port Hardy,CA,50.6996,-127.4199,61.36,78,32,2.93,scattered clouds
197,Coihaique,CL,-45.5752,-72.0662,42.75,52,40,8.05,scattered clouds
198,Bambous Virieux,MU,-20.3428,57.7575,69.22,58,49,16.26,scattered clouds
199,Svetlyy,RU,54.675,20.1347,68.05,72,100,7.85,overcast clouds
200,Dikson,RU,73.5069,80.5464,39.42,85,100,14.88,overcast clouds
201,Miedzyrzec Podlaski,PL,51.9864,22.7825,69.06,60,100,7.56,overcast clouds
202,Clyde River,CA,70.4692,-68.5914,34.0,97,100,4.05,overcast clouds
203,Banyo,CM,6.75,11.8167,65.37,97,100,3.13,light rain
204,Solnechnyy,RU,50.7214,136.6319,72.41,76,100,1.99,overcast clouds
205,Waiuku,NZ,-37.25,174.75,58.24,99,100,13.49,overcast clouds
206,Torbay,CA,47.6666,-52.7314,65.28,88,100,1.01,overcast clouds
207,Berbera,SO,10.4396,45.0143,89.46,37,100,26.46,overcast clouds
208,Sungairaya,ID,0.7,108.9,79.0,88,52,5.73,broken clouds
209,Grand Forks,US,47.9417,-97.4337,91.13,21,20,10.36,few clouds
210,Beringovskiy,RU,63.05,179.3167,51.76,90,100,1.61,overcast clouds
211,Urucara,BR,-2.5364,-57.76,94.28,34,88,4.07,overcast clouds
212,Chifeng,CN,42.2683,118.9636,73.56,79,100,6.13,overcast clouds
213,Marseille,FR,43.3333,5.5,78.55,58,100,6.46,overcast clouds
214,Palmares,BR,-8.6833,-35.5917,71.83,92,20,7.7,few clouds
215,Manokwari,ID,-0.8667,134.0833,78.22,75,97,4.05,overcast clouds
216,Glens Falls,US,43.3095,-73.644,86.94,74,1,1.99,clear sky
217,Pinerovka,RU,51.562,43.0689,62.47,58,34,5.95,scattered clouds
218,Pisco,PE,-13.7,-76.2167,66.25,72,0,9.22,clear sky
219,Lagoa,PT,39.05,-27.9833,70.23,77,100,12.28,overcast clouds
