City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Guanica,PR,89.13,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
392,Ostra,IT,85.06,overcast clouds,43.6139,13.1582,Ostra... Che Bello
393,Portland,US,88.7,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
394,Sorong,ID,77.11,overcast clouds,-0.8833,131.25,waigo splash hotel
396,Hearst,CA,77.25,broken clouds,49.6835,-83.6665,Companion
403,Aksu,CN,85.26,clear sky,41.1231,80.2644,Pudong Holiday Hotel
404,Corinto,GR,81.68,clear sky,37.9407,22.9573,Ephira Hotel
405,Anloga,GH,76.5,clear sky,5.7947,0.8973,Pin Drop Hotel
410,Kenora,CA,78.78,few clouds,49.8167,-94.4337,Maynard Lake Lodge
414,Dharchula,IN,75.74,overcast clouds,29.85,80.5333,Mahara Hotel
415,Mikuni,JP,76.91,clear sky,36.2171,136.1519,Haiya
417,Meulaboh,ID,76.95,overcast clouds,4.1363,96.1285,Kost Pria
418,Nioro,GM,80.73,overcast clouds,13.35,-15.75,
424,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
429,Sioux Lookout,CA,79.18,smoke,50.1001,-91.917,Knobby's Fly-In Camps
431,Ximei,CN,85.73,overcast clouds,24.9639,118.3794,Nan'an Hotel
441,Awjilah,LY,84.79,clear sky,29.1081,21.2869,
443,Auras,IN,85.95,overcast clouds,26.9167,80.5167,ISHWARI KRIPA INDANE SERVICE
445,Almaznyy,RU,75.34,broken clouds,48.0448,40.045,
449,Sirajganj,BD,83.57,moderate rain,24.45,89.7167,Sourav talukder
450,Ponta Do Sol,PT,79.0,clear sky,32.6667,-17.1,Hotel do Campo
452,Amapa,BR,81.27,overcast clouds,1.0,-52.0,
453,Punganuru,IN,75.36,moderate rain,13.3667,78.5833,Sai Ram nursery
454,Shizuishan,CN,77.56,overcast clouds,39.2333,106.7694,Xingji Hotel
455,Lazaro Cardenas,MX,85.96,few clouds,17.9583,-102.2,quinta antigua
457,Zhumadian,CN,76.44,overcast clouds,32.9794,114.0294,Ouyue House Hotel
458,Bud,US,88.21,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
459,Semey,KZ,80.28,overcast clouds,50.4111,80.2275,Grand Hotel Semey
460,Turan,VN,86.05,scattered clouds,16.0678,108.2208,Sun River Hotel
467,Mitu,CO,77.32,broken clouds,1.1983,-70.1733,
470,Beaufort,MY,78.96,heavy intensity rain,5.3473,115.7455,The Gem Hotel Beaufort
474,Pundaguitan,PH,83.71,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
477,Ucluelet,CA,82.04,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
484,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
490,Abhaynagar,BD,81.68,overcast clouds,23.0129,89.4049,MD. ARAFAT HOSSAIN
495,Balkanabat,TM,83.88,clear sky,39.5108,54.3671,Nebitchi Hotel
496,Xinzhi,CN,76.95,broken clouds,36.4989,111.7047,Mingyue Hotel
501,Yanam,IN,80.96,broken clouds,16.7333,82.2167,The Regency Hotel
502,Samarai,PG,78.3,light rain,-10.6167,150.6667,Nuli Sapi
503,Ca Mau,VN,77.58,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
504,Alexandria,EG,77.54,scattered clouds,31.2156,29.9553,Royal Crown Hotel
507,Praya,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
512,Cheyenne,US,88.95,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
514,Axim,GH,75.99,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
519,Tezu,IN,77.05,overcast clouds,27.9167,96.1667,Circuit House
520,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
524,Tahoua,NE,87.22,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
529,Mumford,GH,75.45,few clouds,5.2618,-0.759,Spanish Villa
532,Salinas,US,85.98,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
538,Palmer,US,77.47,overcast clouds,42.1584,-72.3287,Wedgewood Motel
541,Muscatine,US,89.44,clear sky,41.4667,-91.1335,Bed Bekfast
542,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
545,Biltine,TD,78.4,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
546,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
548,Camalu,MX,75.42,overcast clouds,30.85,-116.0667,La Cueva del Pirata
549,Gat,IL,82.81,clear sky,31.61,34.7642,OlusHome
550,Puerto Leguizamo,CO,82.63,overcast clouds,-0.1934,-74.7819,la casona de juancho
551,Hirara,JP,83.41,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
554,Yueyang,CN,76.05,clear sky,29.3333,113.0919,Delong Fortune Hotel
559,Pacific Grove,US,89.15,few clouds,36.6177,-121.9166,Lovers Point Inn
560,Teknaf,BD,79.07,overcast clouds,20.8624,92.3058,Forestry Guesthouse
563,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
567,Ocampo,MX,76.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
568,San Vicente,AR,78.44,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
570,Douglas,US,87.31,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
576,Vanimo,PG,75.42,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
580,Bull Savanna,JM,81.48,broken clouds,17.8868,-77.5902,Big Red's
584,Mersing,MY,78.71,clear sky,2.4312,103.8405,Timotel Hotel
586,Santiago Tuxtla,MX,85.77,broken clouds,18.4667,-95.3,Hotel Santiago Plaza
589,Damietta,EG,80.49,clear sky,31.4165,31.8133,SULIMAN INN
590,Huilong,CN,82.99,light rain,31.8111,121.655,Hilton Garden Inn Qidong
591,Gravelbourg,CA,84.47,scattered clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
592,Corn Island,NI,81.18,overcast clouds,12.1694,-83.0418,Big Fish Guest House
593,Amahai,ID,76.03,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
595,Crawfordsville,US,88.25,scattered clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
596,Wanning,CN,79.14,broken clouds,18.8003,110.3967,Paradise Hotel
600,Show Low,US,75.88,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
604,Dumai,ID,75.22,few clouds,1.6833,101.45,Grand Zuri Dumai
606,Padang,ID,77.56,scattered clouds,-0.9492,100.3543,Mercure Padang
607,San Roque,ES,77.81,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
609,Mahibadhoo,MV,82.02,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
614,Haimen,CN,84.09,broken clouds,23.1935,116.6142,Jinghao Business Hotel
617,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
618,Kieta,PG,78.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
621,Shache,CN,85.86,clear sky,38.4167,77.2406,Delong Hotel
625,Sainte-Adele,CA,81.75,broken clouds,45.9501,-74.1325,Hôtel Spa Château Sainte-Adèle
626,Grand Island,US,82.35,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
635,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
636,Galle,LK,78.39,overcast clouds,6.0367,80.217,Amangalla
640,Kidal,ML,89.71,overcast clouds,18.4411,1.4078,
645,Dingle,PH,77.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
646,Sumenep,ID,76.78,clear sky,-7.0167,113.8667,OYO 3271 Homestay Pandian
649,San-Pedro,CI,75.24,few clouds,4.7485,-6.6363,Hotel Maria
665,Napanee,CA,85.77,clear sky,44.2501,-76.9494,Fox Motor Inn
668,La Asuncion,VE,81.05,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
673,Sinnamary,GF,81.19,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
676,Sabha,LY,85.19,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
684,Jalu,LY,86.72,clear sky,29.0331,21.5482,صاحبة الفخامة
685,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
694,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
697,Lagos De Moreno,MX,81.28,clear sky,21.35,-101.9167,Scala Hotel
698,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
702,Puerto Salgar,CO,85.62,light rain,5.463,-74.6544,Hotel Confort
704,Namatanai,PG,78.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
706,Tiznit,MA,80.24,clear sky,29.5833,-9.5,
710,Presidencia Roque Saenz Pena,AR,89.69,overcast clouds,-26.7852,-60.4388,Hotel Gualok
